worker_ratio_approved_assignments,worker_ratio_approved_assignments_of_project,sandbox,creation,expiration,status_external,status_internal,information_age_group,information_education_level.bachelors,information_education_level.basic,information_education_level.postgraduate,information_english_skills.Low,information_english_skills.high,information_english_skills.medium,information_gender.F,information_gender.M,information_gender.other,information_nationality,personal_stance_1.agree,personal_stance_1.disagree,personal_stance_1.neutral,personal_stance_1.unknown,personal_stance_2.agree,personal_stance_2.disagree,personal_stance_2.neutral,personal_stance_2.unknown,personal_stance_3.agree,personal_stance_3.disagree,personal_stance_3.neutral,personal_stance_3.unknown,personal_stance_4.agree,personal_stance_4.disagree,personal_stance_4.neutral,personal_stance_4.unknown,question-select_300.1-2,question-select_300.2-2,question-select_300.3-2,question-select_300.4-2,question-select_310.1-2,question-select_310.2-2,question-select_310.3-2,question-select_310.4-2,question-select_3110.1-1,question-select_3110.2-1,question-select_3110.3-1,question-select_3110.4-1,question-select_3120.1-1,question-select_3120.2-1,question-select_3120.3-1,question-select_3120.4-1,question-select_3130.1-1,question-select_3130.2-1,question-select_3130.3-1,question-select_3130.4-1,question-select_350.1-2,question-select_350.2-2,question-select_350.3-2,question-select_350.4-2,question-select_360.1-2,question-select_360.2-2,question-select_360.3-2,question-select_360.4-2,question-select_380.1-1,question-select_380.2-1,question-select_380.3-1,question-select_380.4-1,question1_1_1.arg_a,question1_1_1.arg_b,question1_1_1.none,question1_1_2.arg_a,question1_1_2.arg_b,question1_1_2.none,question1_1_repeatedLabeled1.no,question1_1_repeatedLabeled1.none,question1_1_repeatedLabeled1.yes,question1_2_1.val1,question1_2_1.val2,question1_2_1.val3,question1_2_2.val1,question1_2_2.val2,question1_2_2.val3,question1_2_repeatedLabeled1.val1,question1_2_repeatedLabeled1.val2,question1_2_repeatedLabeled1.val3,question1_3_1,question1_3_2,question1_3_last1,question1_3_last2,question1_3_repeatedLabeled1,question2_1_3.val1,question2_1_3.val2,question2_1_3.val3,question2_2_3.val1,question2_2_3.val2,question2_2_3.val3,question2_3_3.val1,question2_3_3.val2,question2_3_3.val3,question2_4_3.val1,question2_4_3.val2,question2_4_3.val3,question3_3_4.val1,question3_3_4.val2,question3_3_4.val3,question3_4_4.val1,question3_4_4.val2,question3_4_4.val3,start_time,submit_time,time_elapsed_1,time_elapsed_2,time_elapsed_3,time_elapsed_id_4,time_elapsed_instructions,time_elapsed_last,time_elapsed_personal_stance,time_elapsed_profile,question-select_340.3-1,question-select_350.2-1,question-select_390.1-1,question-select_370.2-1,question-select_350.4-1,question-select_330.4-2,question-select_340.3-2,question-select_390.2-1,question-select_370.3-1,question-select_370.1-1,question-select_340.2-1,question-select_350.1-1,question-select_350.3-1,question-select_370.4-1,question-select_330.1-2,question-select_3100.2-1,question-select_3100.3-1,question-select_3140.3-1,question-select_330.2-2,question-select_340.4-2,question-select_3140.1-1,question-select_3140.4-1,question-select_360.3-1,question-select_330.3-2,question-select_340.2-2,question-select_3100.4-1,question-select_340.1-2,question-select_340.4-1,question-select_360.1-1,question-select_340.1-1,question-select_390.4-1,question-select_390.3-1,question-select_3100.1-1,question-select_3140.2-1,question-select_360.4-1,question-select_360.2-1,id_worker
e,False,False,False,True,False,False,False,False,True,False,True,False,False,False,,,,,False,True,False,False,,,,,False,False,False,True,,,,,,,,,,,,,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,It's using small examples to try and make a big case for gun restrictions for everyone.,"Body scanners are not perfect, but needed devices to be used as a tool to catch criminals. So it basically makes sense to have more of them used.",it ran well and was interesting to read.,Emotion is a factor to play up for a side.,Because it's using emotions to try and persuade and backup it's points.,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,06/30/2021 09:13:45,06/30/2021 09:52:49,1813,129,90,104,9,44,18,42,,,False,False,,False,,False,False,True,,,,False,False,False,False,,True,,,,False,False,,False,,,True,,False,True,True,,False,False,15
1.0,1.0,False,2021-06-30 22:35:18+00:00,2021-07-02 02:21:58+00:00,APPROVED,REJECTED,30,False,True,False,False,True,False,False,True,False,american,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,,,,,False,True,False,False,,,,,True,False,False,False,,,,,,,,,,,,,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,Both descriptions both describe how guns are handled legally and how criminals can find a way to get them as well.,N talks more about why scanners are not effective and mostly keep to that side of the argument than discussing both the pros and cons of full-body scanners.,Interesting topics of importance overall. I found this to be an engaging exercise to take part in.,"I learned that there can be different arguments for pros and cons of different subjects, but that one sided arguments can determine the viewpoint of what is being talked about.","A talks a lot on the side of how gun owners having burglars barge into their home and that it would increase more gun violence if the one broken into pulls out a firearm to protect themselves. Then it talks about how guns don't kill people and people are responsible for their choices. The same comparison can be made for B where they discuss mostly about laxed gun laws contributing to more deaths via guns, but then end with saying people will find all kinds of ways to end their life or others' lives. I say both are equally as one sided.",False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,06/30/2021 09:25:06,06/30/2021 09:43:09,75,236,166,149,9,71,17,53,,,False,False,,True,,False,False,True,,,,False,False,False,False,,False,,,,False,False,,False,,,True,,True,False,True,,False,False,16
ROVED,31,True,False,False,False,True,False,False,True,False,american,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,,,,,False,True,False,False,,,,,True,False,False,False,,,,,,,,,,,,,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,The text mostly talks about how owning a gun motivates criminals to break into a house to steal it,Text A only talks about the cons of full body scanners while text B includes both pros and cons,the study was very intriguing and made me think of the issues deeply,It is having a view or opinion that only favors one side of a particular topic,Text A talks more about the how owning a gun increases the chances of being a victim as it encourages criminals to break in and steal the gun while B talks about several aspects of gun control,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,06/30/2021 05:00:13,06/30/2021 05:36:05,837,233,367,311,564,87,32,44,,,True,False,,True,,False,False,True,,,,False,False,False,False,,False,,,,False,False,,True,,,True,,False,False,False,,False,False,18
intention of harming anyone, but whom feel they must defend themselves when a citizen pulls out a gun. Fatal exchanges often occur because an innocent person decides to draw out a gun on an assailant

Legal boundaries for gun-ownership may not provide sufficient social protections, as many criminals steal legally-owned guns, and commit violent crimes or murder with them. These criminals would have greater difficulty in obtaining such weapons if firearms were generally less prevalent in society. In other words, it is argued that the world would be safer with fewer guns, and laws that lead to fewer guns by restricting the right of gun-ownership. Reducing the prevalence of guns reduces crime","A British defense-research firm reportedly found that full-body scanners can be unreliable in detecting ""low-density"" materials like plastics, chemicals, and liquids, which is what the 2009 Christmas ""underwear bomber"" had stuffed in his briefs. While a hazy outline is often revealed for such items, the blurriness can often prevent the detection of such items, particularly when hundreds of thousands of passengers are being screened daily. Scanners do not detect low-density items very well","Guns are not the only means of violence and crime. Determined criminals will find a way to do what they intend. Depriving guns to criminals will not have an effect on crime and violence. Criminals will find a way to commit crimes and violence with or without guns

In homes with guns, a member of the household is almost three times as likely to be the victim of a homicide compared to gun-free homes. Households with guns have a much greater risk of homicide:","Guns are not the only means of violence and crime. Determined criminals will find a way to do what they intend. Depriving guns to criminals will not have an effect on crime and violence. Criminals will find a way to commit crimes and violence with or without guns

In homes with guns, a member of the household is almost three times as likely to be the victim of a homicide compared to gun-free homes. Households with guns have a much greater risk of homicide Guns are not the only means of violence and crime. Determined criminals will find a way to do what they intend. Depriving guns to criminals will not have an effect on crime and violence. Criminals will find a way to commit crimes and violence with or without guns

In homes with guns, a member of the household is almost three times as likely to be the victim of a homicide compared to gun-free homes. Households","Guns are not the only means of violence and crime. Determined criminals will find a way to do what they intend. Depriving guns to criminals will not have an effect on crime and violence. Criminals will find a way to commit crimes and violence with or without guns

In homes with guns, a member of the household is almost three times as likely to be the victim of a homicide compared to gun-free homes. Households with guns have a much greater risk of homicide:",True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,06/30/2021 08:09:49,06/30/2021 08:17:19,42,16,16,25,116,264,17,50,,,False,False,,False,,False,False,True,,,,False,False,False,False,,True,,,,False,False,,False,,,False,,True,False,True,,True,False,19
1.0,1.0,False,2021-06-30 22:35:22+00:00,2021-07-02 02:22:02+00:00,APPROVED,REJECTED,34,True,False,False,False,True,False,False,True,False,american,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,,,,,True,False,False,False,,,,,True,False,False,False,,,,,,,,,,,,,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,"I think text B is one sided judgement ,unbalanced,and unequal",I think text A is more one sided because it is existing on one side only,good and useful learning more thing from this survey.,"I learn one-sidedness mean unbalanced and unequal, existing or occurring on one side only",I think Text A is more one sided because it is unbalanced and unequal.,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,06/30/2021 08:30:29,06/30/2021 08:52:46,322,123,66,225,10,450,15,52,,,True,False,,False,,False,False,True,,,,False,False,False,False,,True,,,,False,False,,False,,,True,,False,False,True,,False,False,20
1.0,1.0,False,2021-06-30 22:35:23+00:00,2021-07-02 02:22:03+00:00,APPROVED,APPROVED,39,False,True,False,False,True,False,True,False,False,american,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,,,,,False,True,False,False,,,,,True,False,False,False,,,,,,,,,,,,,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,"A only talked from the criminals perspective, B talked about the perspective of gun owners and other groups",A only talks about the scanners for what they do not do,"No not really, some of the differences were difficult to see","Not sure, but I can see difference between each side.","Difficult one here as both seem equally one sided, but A does seem not use less perspective than B",False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,06/30/2021 05:46:22,06/30/2021 06:00:56,135,135,101,270,646,86,23,49,,,True,False,,True,,False,False,True,,,,False,False,False,False,,False,,,,False,False,,False,,,False,,False,False,True,,False,True,21
1.0,1.0,False,2021-07-05 12:58:33+00:00,2021-07-06 16:45:13+00:00,APPROVED,APPROVED,29,False,False,True,False,True,False,False,True,False,american,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,,,,,False,True,False,False,,,,,True,False,False,False,,,,,,,,,,,,,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,The text says more comforts to the individuals and not thinking about the problems of using of guns by criminals,The above text is very straight forward and they not saying the major drawbacks,it was good and very intersting,i learnt how people argue from only one side,Text b is saying only one argument which is a negative thing,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,07/05/2021 08:11:38,07/05/2021 08:21:25,133,110,113,100,20,22,18,25,,,False,True,,False,,True,False,False,,,,False,True,False,False,,False,,,,False,False,,False,,,False,,False,False,True,,False,True,22
1.0,1.0,False,2021-07-05 12:58:35+00:00,2021-07-06 16:45:15+00:00,APPROVED,REJECTED,29,True,False,False,False,True,False,False,True,False,american,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,,,,,True,False,False,False,,,,,True,False,False,False,,,,,,,,,,,,,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,The Text B is more one-sided than Text A  because it is unequal and unfair.,Text A is one-sided because it is unfair,Gain clear understanding about one-sidedness and it is very useful.,"I had learnt one-sidedness means unfair,unequal and unbalanced.",Text A is more one-sided than B.It contains one-sided judgement and it is unequal,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,07/05/2021 07:03:10,07/05/2021 07:32:21,223,90,247,366,18,417,36,27,,,True,True,,False,,False,False,False,,,,False,False,False,False,,True,,,,False,False,,False,,,False,,False,False,True,,False,True,23
,,,,False,True,False,False,,False,,,,False,False,,False,,,False,,False,False,True,,False,True,24
1.0,1.0,False,2021-07-05 13:10:31+00:00,2021-07-06 16:57:11+00:00,APPROVED,REJECTED,25,False,False,True,False,True,False,True,False,False,american,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,,,,,False,True,False,False,,,,,False,True,False,False,,,,,,,,,,,,,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,"The side of A is one side of speaking and same side speaking,",the side of B is one side speaking and same side speaking this person.,"some page thoughts is very bad,","don't talk in one side, because both side speaking is whose speaking for true and whose speaking for false.","Because he A side is speaking for the boundaries and ownership of company, that person is speaking for the only management side.",True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,07/05/2021 09:30:24,07/05/2021 09:35:40,40,47,27,27,17,73,26,20,,,True,True,,False,,False,False,False,,,,False,True,False,False,,False,,,,False,False,,False,,,False,,False,False,True,,False,True,25
1.0,1.0,False,2021-07-05 13:10:32+00:00,2021-07-06 16:57:12+00:00,APPROVED,APPROVED,21,False,True,False,False,True,False,False,True,False,american,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,,,,,False,True,False,False,,,,,True,False,False,False,,,,,,,,,,,,,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,"This argument doesn't try to say anything about the other factors that go into gun killings, and makes it one-sided.","B goes into the arguments about how nothing is 100% and concedes some parts of the argument, whereas A doesn't.","Great survey, thank you very much.","I learned that it is easier than you think to break down arguments, and that one-sided arguments can make for less digestible rhetoric.",A does a good job seeing both sides.,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,07/05/2021 09:49:30,07/05/2021 10:00:09,118,76,53,125,24,68,19,14,,,True,False,,False,,False,False,True,,,,False,False,False,False,,True,,,,False,False,,False,,,True,,False,False,True,,False,False,26
1.0,1.0,False,2021-07-01 17:22:41+00:00,2021-07-02 21:09:21+00:00,APPROVED,APPROVED,29,True,False,False,False,True,False,False,True,False,brazilian,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,,,,,False,True,False,False,True,False,False,False,,,,,,,,,,,,,,,,,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,"Because it only talks about the good side of religion, how it helps people to get rid of addictions, etc., but ignores the religious conflicts that already existed, for example.","It uses frivolous arguments, such as ""knives are more often used in assaults"", but a tragedy with an assault weapon kills more people than a tragedy with a knife.","We have to be very careful when obtaining information, as sometimes we will read certain things that satisfy our ideological bias, but they will not always be true.","I learned that we must be more critical about the information we get, and always try to see the other side of the information.","for it only exposes supposedly good sides of religion, and the information does not always match reality.
For example, if a person wants to get rid of an addiction, it would be best to seek medical help, not spiritual help. The text can do a disservice to addicted people.",False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,07/01/2021 03:57:20,07/01/2021 04:15:22,254,172,191,183,60,97,30,31,,,True,False,,False,,False,False,False,,,,True,False,False,False,,True,,,,False,False,,False,,,True,,False,False,True,,False,False,27
1.0,1.0,False,2021-07-01 17:22:43+00:00,2021-07-02 21:09:23+00:00,APPROVED,APPROVED,27,True,False,False,False,False,True,False,True,False,indian,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,,,,,False,True,False,False,True,False,False,False,,,,,,,,,,,,,,,,,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,A only makes arguments against atheism and tries to justify acts of religion. B gives quite logical arguments and doesn't seem to be very one sided.,"A gives clear and logical arguments, while B's arguments are somewhat spread out.",I like the experiment. It would be nice to clarify if we need to check for bias or if logical one-sidedness is also considered one-sidedness.,Logic can make one confused about author's intent.,"A seems somewhat inclined towards religion as it repeatedly defends it while bashing atheism, but B gives logical arguments.",True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,07/01/2021 11:21:45,07/01/2021 11:53:10,322,705,309,235,103,188,19,17,,,True,False,,False,,False,False,True,,,,False,False,False,False,,True,,,,False,False,,False,,,True,,False,False,True,,False,False,28
