0,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
"these entities ensure that prisoners are not ill treated  prisoners do not deserve any further representation  prisoners  interests are represented by ngos and others, i can offer some well informed guesses about how my old cellmates in hmp belmarsh might react to the news that their christmas present from brussels is to be a new right to put their crosses on ballot papers from behind bars  indifference  incomprehension or dismissive expletives would be their likely responses   most prisoners don t care about voting, uk shadow home secretary ann widdecombe said in 2001   the courts have ruled that convicted prisoners  many of them dangerous  cannot be allowed to take part in normal society  how  therefore  can it be sensible to give them a say in how that society should be run   prisoners are unfit for society so unfit to vote, the clearest indication that voting is a privilege and not a right is the fact that minors cannot vote  therefore  it is perfectly reasonable for the state to deprive criminals of their voting privileges  voting is a privilege  not right  that criminals fairly lose, if we are all agreed that convicted felons should have their right to liberty temporarily removed  then why are we so anxious about protecting their right to vote  a far lesser  right  than liberty    prisoners lose freedom  what s problem with losing vote, prisoners can only be given the rights of members of society when they are deemed capable of acting as responsible members of society  prisoners deserve voting privileges only when they act responsibly, when a citizen breaks the laws of the state  they forfeit many of the rights and protections of the state  including the right to vote  criminals forfeit the right to vote, we should respect their human rights and should infringe upon their liberty as little as possible  except for the protection of the public  prisoners retain many rights  including the right to vote",1,321,64.87,51.2,5.58,3.86,321,25.23,86.29,64.17,51.4,9.97,5.92,0.93,0.93,0,0,4.05,4.05,14.64,6.85,0.31,14.33,9.97,5.92,4.98,1.87,16.2,7.48,2.49,9.66,1.56,1.56,6.54,14.64,0.31,14.33,2.49,3.12,3.74,2.49,0.31,3.74,0,7.48,2.49,4.67,0.62,0,0.31,0.31,0,0,0,12.77,5.3,0.62,0,0,2.18,1.56,7.48,0,0,0,0,4.98,4.98,0,0,1.87,0.31,0.31,0.93,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0.31,0.31,0,0,0,2.18,0.31,4.05,4.67,0.93,0.62,2.8,0.31,0,0,2.49,1.25,5.61,0.62,0.31,0,0,0.31,0,2.18,0,2.18,0,0,0,0
"in a debate  complex analysis is usually an advantage  in normal life  it may cause more harm than good  debaters  way of thinking is too complicated, instead of analyzing properly what the pros and cons are  debaters tend to stress only those points that can make them seem as the  winners  or the row  therefore  they are less likely to reach a consensus  debaters need the feeling that they  won, debating teaches people to look at both sides of a problem  thus debaters have this skill usually more developed than other people  and are able to find positives even there where the others give up   debaters are able to see both sides of a coin, this means that debaters are able to come up with solutions  instead of new fights  debaters are used to dealing with problems  resolving them and shaking hands after each and every discussion, most debaters tend to research the topics given as much as possible  thus making it harder for themselves to finally come to a conclusion  as every good debater is able to argue both for and against any motion   debating is not about solving problems  quite the contrary, there is no correlation between one s ability to solve crises and skills acquired through debate experience  as debate is a competition  not a row that would be supposed to come to a conclusion  solving crises has nothing to do with debating, not only can debaters look at positives or negatives  but they are also able to analyze situations from many perspectives  which in turn benefits them as well as others  debaters can approach problems from many different angles, given that every good debater is able to research almost any topic and discuss it afterwards  he gradually develops a unique system of processing information  which helps him to deal with  even unexpected  crises  debaters have unique researching skills",1,312,70.92,16.46,60.26,28.82,312,25.32,93.27,66.99,55.45,8.01,2.88,0,0,0,0.64,2.24,5.13,14.1,5.45,0.32,16.99,8.01,7.37,6.73,1.6,16.03,6.73,4.49,6.73,0.32,6.41,0.64,24.36,1.6,22.76,7.05,1.6,2.24,3.85,0,6.09,0,5.13,2.88,2.24,1.6,0.96,0.64,0.32,0.32,0,0,11.22,8.01,0.32,0,0.64,0,7.37,2.88,0,0,0,0.64,0,0,0,0,3.21,0,0,2.88,0.32,0,0.32,0,0,0,0,0,0,0,0,1.28,0,0.32,0,0,0,1.28,1.28,0.96,6.09,7.37,0.64,2.56,4.81,0.96,0,0.32,1.92,1.28,6.73,0.96,0,0,0,0,0,2.24,0,2.24,0,0,0,0
"the argument here is that sociological factors are more important than the availability of weapons in determining gun violence and deaths in societies   guns don t kill people   people kill people, criminals often decide to shoot a citizen only after the citizen pulls out a gun in  self defense   this occurs with burglars that may have had no intention of harming anyone  but whom feel they must defend themselves when a citizen pulls out a gun  fatal exchanges often occur because an innocent person decides to draw out a gun on an assailant, legal boundaries for gun ownership may not provide sufficient social protections  as many criminals steal legally owned guns  and commit violent crimes or murder with them  these criminals would have greater difficulty in obtaining such weapons if firearms were generally less prevalent in society  in other words  it is argued that the world would be safer with fewer guns  and laws that lead to fewer guns by restricting the right of gun ownership  reducing the prevalence of guns reduces crime, guns in a household can actually provide an incentive for criminals to break into a house  increasing the risks for gun owners  therefore  gun ownership can be self defeating  as citizens purchase guns for self defense only to find that their home  property  and lives are at greater risk  burglars often break into houses to steal guns, guns are not the only means of violence and crime  determined criminals will find a way to do what they intend  depriving guns to criminals will not have an effect on crime and violence  criminals will find a way to commit crimes and violence with or without guns, some groups maintain that there is a correlation between the laxity of a country s gun laws and its suicide rate   not because gun owners are more depressive  but because the means of quick and effective suicide is easily to hand  guns make suicide too easy argument, legal gun owners frequently commit murder with their legally owned gun  this happened at hungerford and dunblaine in the u k  this may indicate that legal gun ownership is not a sufficient social protection against the lethal potential of guns  legal gun owners sometimes turn their gun on others, in homes with guns  a member of the household is almost three times as likely to be the victim of a homicide compared to gun free homes  households with guns have a much greater risk of homicide",1,411,87.01,53.13,26.13,1,411,24.09,88.32,61.8,48.91,6.08,2.19,0,0,0.24,0,1.7,3.89,14.6,8.03,0.24,15.09,7.54,3.89,5.84,1.46,12.65,9.49,2.68,7.06,0.24,0.73,6.33,14.36,0.73,13.63,2.92,2.19,1.22,3.65,0.24,3.89,0,10.22,0.97,9.25,1.22,0,1.22,0,0.97,0.24,0,13.38,5.35,0,0,2.43,1.95,0.97,7.3,0.73,0,0,0,0.97,0.97,0,0,2.19,0,1.95,0,0.24,0,3.89,0.97,0,0,0.97,0,0,0.24,2.92,0.49,0,0.97,0.24,0.49,0,0.24,1.46,0,5.35,8.03,0.24,0.73,6.08,0,0,0.24,2.19,1.46,5.11,1.7,0.49,0.49,0.24,0,0,1.7,0,1.7,0,0,0,0
"full body scanners are incapable of revealing explosives hidden in body cavities  which has been an age old method for smuggling contraband  future terrorist plots are likely to include such efforts  and have the potential to get around body scanners  scanners do not reveal things in body cavities, the international air transport association says the scanning process will take 45 seconds for each passenger  which would create two to five hour flight delays  according to andrew compart  senior editor for aviation week  full body scanners will slow airport security check points, scott stewart  vice president of tactical intelligence at the global consultancy stratford  criticized body scanners in a quote in time magazine in 2010   we have a tendency to over rely on technology  especially americans  instead of human intelligence   full body scanners distract from human intelligence, no single technology can keep terrorists from boarding airplanes with bomb materials  that s why expensive full body scanners are not cure alls for security breaches  it s wise to expand the use of scanners  but only as part of a broader strategy to make flying safer   full body scans are a valuable piece of larger strategy, michael chertoff  the former homeland security secretary  said in an interview   nothing is 100 percent  but  the more difficult you make it for someone to conceal weapons  the fewer people who are going to be willing or capable of concealment   full body scans make terrorist attacks more difficult, a british defense research firm reportedly found that full body scanners can be unreliable in detecting  low density  materials like plastics  chemicals  and liquids  which is what the 2009 christmas  underwear bomber  had stuffed in his briefs  while a hazy outline is often revealed for such items  the blurriness can often prevent the detection of such items  particularly when hundreds of thousands of passengers are being screened daily  scanners do not detect low density items very well, bruce schneier  a security expert who has been critical of full body scanners  said to the new york times in december of 2009   if there are a hundred tactics and i protect against two of them  i m not making you safer  if we use full body scanning  they re going to do something else   terrorists will change tactics to avoid airport scanners, former homeland security chief michael chertoff told the washington post   you ve got to find some way of detecting things in parts of the body that aren t easy to get at  it s either pat downs or imaging  or otherwise hoping that bad guys haven t figured it out  and i guess bad guys have figured it out   scanners help reveal hidden weapons and bombs",1,447,84.98,28.94,56.46,13.1,447,29.31,83.89,58.84,42.28,6.26,2.91,0.67,0.45,0.67,0.22,0.45,3.36,10.29,5.37,2.68,12.98,6.94,2.91,3.8,1.34,13.65,10.96,6.04,4.25,0.89,1.57,2.01,14.32,0.45,13.87,2.91,1.79,1.12,3.36,0,5.15,0,6.04,2.68,3.36,0.67,0.22,0.45,0,0,0,0,6.04,2.01,0.22,0,0.45,0,1.12,4.03,0,0,0,0.67,5.59,1.79,0.22,3.58,2.01,0,0,1.57,0.22,0.22,3.13,0,0,0,0,0,0,0,0,0.22,0.22,0.89,0,2.01,0,0,2.24,0.45,4.47,15.21,1.34,0.89,6.49,6.04,0.22,0,4.25,2.24,3.8,2.24,0,0,0,0,0,1.57,0,1.57,0,0,0,0
"reservoirs worldwide are being more or less beset by floats  as it intercepts floats from upstream while it holds water  the float pollution had existed before the tgd constructed  preventing upstream garbage floats from piling up at the tgd has been implemented since the tgd began to store water and generate electricity  china is taking steps to limit garbage glut behind tgd, many do not consider hydroelectric energy  renewable  as it depletes the surrounding environment and permanently displaces millions of people  these resources cannot be  renewed   the hydroelectric tgd should not be considered renewable due to social  environmental costs, the reservoir of the three gorges dam is  similar to other dams  fostering algae blooms and elevated levels of phosphate and nitrate pollutants that are damaging to water quality for both the wildlife and for human consumption  because the reservoir is so massive  the effect on water quality is going to be on a scale never seen before  particularly as tributaries coming off of the 60 kilometer reservoir are experiencing the ill effects as well  three gorges dam damages water quality, while there may be some environmental costs associated with the tgd  it is important to keep in mind that the only primary energy alternative to the tgd is coal energy  but coal is a major environmental hazard both on the local level  where it covers chinese cities with lung damaging pollution  and on the global level in the context of global warming  coal is one of the worst greenhouse gas emitters   therefore  the tgd is the lesser of evils  hydroelectric power from the tgd is much cleaner than coal, the use of the tgd has made electric power more efficient and abundant  in fact  statistics show that as the tgd is being utilized more and more  oil production and emission have decreased due to alternative methods of energy  the three gorges dam has helped reduce oil production and emission, due to sediment deposits and erosion down stream  flooding may actually be more likely  so  while flooding can be controlled upstream  these benefits may be negated by downstream effects  three gorges dam could increase downstream flooding, the creation of the dam and associated reservoir has impacts both upstream from the dam and downstream  it will change the temperature of the water  the velocity and direction of the river flow  the surrounding climate so that affects 300 species of fish and 47 rare or endangered species in this area  the tgd will kill water life in the yangze river, the three gorges dam has crated a precedent for the construction of many more massive dams  which are the most damaging kind  the tgd encourages other damaging big dams in china",1,448,87.57,19.59,29.66,32.62,448,25.89,72.1,58.26,49.33,3.35,0.22,0.22,0,0,0,0,3.13,16.74,9.82,2.23,13.17,9.6,2.68,7.59,1.12,12.95,7.14,7.37,1.79,0.45,0.45,0.89,9.38,0.67,8.71,1.34,2.9,0.89,1.34,0.22,2.9,0,2.68,1.79,0.89,0,0,0,0,0,0,0,1.79,0.89,0.45,0,0.22,0.22,0,0.22,0,0,0,0,0.67,0,0.22,0.45,1.79,0,0,0.89,0.89,0,0.67,0,0,0,0,0,0,0.22,0.22,0,0,0.22,0.22,0.22,0,0.22,0.45,0.22,1.34,8.71,0,1.79,6.47,0.45,0,0.22,3.35,1.79,6.03,1.79,0,0,0,0,0,1.56,0,1.56,0,0,0,0
"file sharing opens users to a world of music  this increases the likelihood that they will go on to purchase music  file sharing stimulates exploratory listening and purchases, the list includes adult pornography to children  inflammatory literature  and illegal or  unpopular  material  unregulated file sharing systems can be used to distribute sensitive materials, a few stars are incredibly rich  but most musicians make only a modest living from the royalties on their songs  paid to them every time a record is bought or played on the radio  because of respect for the artists we should buy legal copies and with that bring money to artists we like  by downloading music from the internet one steals money from artists who are struggling to survive in the competitive music world, while it is claimed that the cassette tape s introduction had no impact on the music industry  the difference today is that the distribution costs of free file sharing are virtually non existent  the threat is greater than previous piracy technology because the distribution is practically free, from the 70s to the 80s  the riaa fought for a tax on blank tapes taintor  the movie industry was similarly opposed to recordable media  i e  betamax case   blank cassette tapes did not lead to economic problems as the industry feared, if file sharing is allowed to continue unchecked and grow even larger  eventually more and more people will not feel the need to buy the media they want  instead they will download all of it  if enough people switch to downloading instead of purchasing  then the media industries may not make enough money to keep producing  unregulated file sharing could reduce the appeal and quality of related industries, as record sales drop  recording companies see no reason to support new artists anymore and are willing to sign up only pop stars that are sure to bring commercial success  over years record sales will drop even more  as more and more people will have gadgets that play mp3s  the end result will be fewer new acts and much less diversity of music for us all to enjoy  online free file downloads have damaged legitimate sales, the film industry might raise ticket prices at movie theaters and the cost of dvds  the music industry might start charging more for cds  and the computer gaming industry could start charging more for its games  all of these things are already fairly expensive  and increasing their prices would hurt the consumer even more  as the prices become higher and higher people will start looking for cheaper ways to get this media and more people will turn to downloading files from the internet  causing an even greater downward spiral  the media industry might have to compensate for a lack of sales by raising prices of goods",1,467,86.64,41.34,7.2,38.87,467,23.98,88.01,63.38,48.18,5.14,2.36,0.21,0.64,0,0,1.28,2.78,15.63,8.14,0.86,13.28,7.92,3.21,6,1.07,15.85,9.64,6.64,4.5,1.93,0.64,2.36,11.99,1.28,10.71,1.07,2.57,1.71,2.36,0.43,3,0,3.85,2.57,1.28,0.43,0,0.43,0.21,0,0,0,7.07,3.21,0.43,0,0.64,0,0,3.85,0,0,0,0,2.36,0,0,2.36,13.49,4.5,0,4.28,4.93,0,0.86,0.21,0.21,0,0,0,0.21,0,0,0.64,0.21,1.5,0.64,0.43,0,0.43,0.21,0.64,7.92,7.92,0.43,1.71,2.78,1.07,1.93,0.64,3,2.14,3.64,3.21,0,0,0,0,0,1.5,0,1.5,0,0,0,0
"take the second world war  which was caused partly by hitler s belief that the germans were superior  a result of his belief in evolution  the nazi government was repressive of religion  see   and see the section headed  nazi policy towards churches    and arguably germany s main opponent in the war  the ussr  was likewise repressive of religion  atheists have also had wars, religious institutions have helped many people do things they otherwise could have not such as quit smoking  stop drinking alcohol  and help many convicted felons turn a new leaf  they also have many volunteer programs within them and are an all around good place to make friends and have fun  religion has helped people better themselves and world, just because you believe in a just god doesn t mean you are automatically expected to be perfect  most humans are theistic and since all humans are sinners  most sinners are theists also  but just because a religion s followers are fallen does not mean that the religion itself is automatically disproven  all humans are imperfect, communism  the ideology providing the ground for so many brutal dictatorships throughout the last century  was mainly followed by atheists  when atheists criticise religions for the largely negative impact atheism has had on society  they are overlooking their own negative impact, the claims in this section are a mish mash of irrelevancies  even if hitler were motivated by evolution  to the extent that anything even approaching the scientific theory evolution were endorsed by the nazis at all  it is the discredited beliefs of houston stewart chamberlain who explicitly rejected darwinism   evolution is not atheistic  the majority of people who accept evolution are religiously inclined   atheists have also had wars, yes  the idea of theocracy may describe a perfect society  but what good is a perfect society if it doesn t exist and all attempts to create one fail miserably  replace  communism  with  theocracy, the actions and beliefs of religious institutions are irrelevant to the debate of whether or not atheism is a sound philosophy  as well as to the issue of evidence for or against god  an idea or philosophy is true or false apart from any institution  organization  or person that may claim to believe or follow that philosophy  one must look at the worldview in question and from that decide whether it fits with what we see in the universe  acts of religious institutions are irrelevant to faith and atheism, in communist prisons many christians were subjected to vigorous brainwashing with the intent of killing their faith  and many were also tortured in other ways  our opponents in this debate have claimed that atheists make no attempts to convert  but this is clearly not true  for more on this topic please see debate  evangelism to debate whether evangelism is in itself ethical  if humane methods are used and no one is forced to convert  only encouraged  atheists criticise religious people for evangelising and  attempting to convert people   however  they do the same",1,501,61.31,33.29,28.38,7.61,501,29.34,85.63,61.88,52.89,7.39,2.99,0,0.4,0.4,0.2,1.6,4.39,14.57,6.99,0.6,12.38,10.18,4.39,8.78,1.4,14.37,5.79,4.59,5.39,1.4,0.8,3.19,16.57,1.8,14.77,3.59,2.59,0.4,3.19,0.8,5.39,0,8.18,3.39,4.79,1,0.6,0.4,0,0,0,0,10.38,5.59,1.6,0.2,1.4,0.8,1.2,4.79,0,0.2,0,0.2,1.8,1.4,0.4,0,6.39,0.2,0,1.4,0,4.79,1,0.6,0,0.4,0,0.2,0,0.4,0.2,0.2,0,0.4,0,0,0,0,0,0.2,6.79,6.39,0.4,0.8,4.59,1,0.2,0,1.2,3.59,4.99,0.8,0.2,0,0.2,0,0,1.4,0,1.4,0,0,0,0
"the obvious intent of the 1994 assault weapons ban was to decrease criminal acts in which assault weapons were used  but  the assault weapons ban has not done this  the 1994 assault weapons ban did not decrease crime, because knives are a more common weapon of choice for criminals  particularly because they are concealable  they have led to more deaths than assault weapons  yet  knives aren t banned  it s important to keep the relatively low societal risks in mind  knives are more deadly than assault weapons, while criminals wanted to carry powerful automatic weapons in the 90s  they now prefer hand guns  as they are concealable and yet still have the necessary deadly force for them to commit crimes  the assault weapons ban is unnecessary  criminals prefer concealable hand guns, while the phrase  guns don t kill people  people kill people  is used widely  what it misses is the extent to which assault weapons enable deranged individuals to kill massively  assault weapons empower the deranged to kill many people, many guns that remained publicly available after the 1994 assault weapons ban were effectively as lethal as the weapons that were banned under the legislation  this is largely because simple adjustments to assault weapons allowed exemptions from the ban  and  it is clear that many of the weapons used in the most deadly massacres  such as the columbine or virginia tech massacres in the united states  were not banned by the assault weapons law  assault weapons banned in 1994 were not uniquely lethal, according to    the decline in the use of aws has been due primarily to a reduction in the use of assault pistols  aps   which are used in crime more commonly than assault rifles  ars   there has not been a clear decline in the use of ars  though assessments are complicated by the rarity of crimes with these weapons and by substitution of post ban rifles that are very similar to the banned ar models   decline in assault weapons due to decline in assault pistols, some gun control advocates actually welcome the expiration of the 1994 assault weapons ban as a means to producing better gun control laws in the future  expiration of the assault weapons ban could enable better gun control laws, assault weapons can hold and fire more rounds  this is directly proportional to how many people can be killed  assault weapons are used to kill a greater number of people",1,405,88.83,18.85,11.86,1,405,26.91,79.26,57.04,46.42,4.94,1.23,0,0,0,0,1.23,3.7,13.58,8.64,1.48,14.07,8.15,3.7,5.19,1.23,11.85,8.64,3.95,11.6,0.25,0.74,10.62,13.83,0,13.83,1.48,5.19,1.98,0.99,0.49,4.69,0,10.12,1.73,8.4,0,0,0,0,0,0,0,10.62,8.89,0,0.25,6.67,0.99,0,1.73,0,0,0,0,0.99,0.74,0,0.25,0.25,0,0,0.25,0,0,3.95,0,0,0,0,0,0,0,3.46,0.25,0.25,0,0,0,0,0,0.25,0,3.95,5.43,0,0.25,4.44,0.74,0,0,2.72,4.44,5.43,0.25,0,0,0,0,0,1.73,0,1.73,0,0,0,0
"iowa and new hampshire are both very small states that represent less than 1  of the electorate of the united states  they also do not reflect the diversity of interests that run across the united states  and  yet  these states are given unparalleled influence on the outcome the the presidential elections  iowa and new hampshire are unrepresentative of the us, the problem with a national primary is that it would violate many of the interests and powers that are constitutionally and politically necessary to preserve  first  it would violate the state governments  powers in establishing the election process and state parties interests in working together with the state to craft this process  second  it would violate the interests of the parties to preserve their right to free association and to ensure that their nominee reflects the interests of their party  a national primary would violate party rights to association, news media often reports the popular vote in primaries simply because it is easier to explain  but  this does not always reflect the reality of how delegates are appointed  the primaries  therefore  can create some level of public confusion  complicated us primaries lead to misleading vote counts, studies have confirmed that the  new hampshire effect  translates to a shift in focus to the early primaries  in this way most states schedule their primary dates very early crowding the calendar  this allows for less time for voters to observe and evaluate their candidates and also skews the process towards the earliest dates   frontloading  shifts attention only to the earliest primaries and in this disrupting a real participatory democracy, the us presidential elections are a globally important phenomena  but foreigners struggle to follow the process  this creates unfortunate impressions abroad about the system the elects the most powerful person in the world  a person that will affect foreigners  complicated primary elections create confusion abroad, the united states have developed an institutional tradition of undemocratic mechanisms designed to actually control political processes these institutions such as the supreme court  the electoral college   the president s veto power have been part of the american government and have helped preserve democracy since the foundation of the united states  primary elections need not be fully democratic, instead of giving states delegates based on population  electoral college  or strength of the party in that state  the parties have a formula involving several other factors  this formula does not give states with close to the same population the same amount of impact on the primary season  primary elections distribute power unequally among voters, every state has a different primary system  some have primary elections  some have caucuses  and some have both  these and other variations make it difficult for ordinary voters to follow the system  understand how they should engage as voters  and subsequently has the potential to turn them off to voting all together  which is bad for democracy  the complicated primary system creates confusion and turns voters off",1,491,90.86,35.4,13.4,68.32,491,31.77,84.73,63.14,49.08,6.72,1.83,0,0.2,0,0,1.63,4.89,19.76,11.2,0.61,12.42,6.31,3.67,5.09,0.81,11.61,10.18,4.07,10.39,2.85,1.02,6.72,13.24,0.41,12.83,2.65,3.05,1.63,1.83,0.81,3.46,0,5.5,4.28,1.22,0.81,0,0.81,0,0,0,0,6.72,3.26,0.61,0,0,0,0.41,3.26,0,0,0,0,9.16,8.35,0.61,0.2,4.28,1.22,0,3.05,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0.2,0,0,0,1.83,3.46,6.72,1.83,0.61,3.67,0.81,0,0,3.26,0.61,3.87,0.41,0,0,0,0,0,1.43,0,1.43,0,0,0,0
"wave power absorbs some of the energy in waves  thus diminishing the energy of waves that reach the coast  this can help reduce coastal erosion  wave power installations can reduce coastal erosion, high initial startup costs   wave power systems have high initial capital costs, repairing generators is a costly proposition  largely because it requires doing repairs at sea or under water  in addition to the repairs  dislodged wave generators can present a hazard to boats and coastal areas  which creates the prospect of expensive lawsuits  storms can damage and dislodge wave generators, a potentially highly efficient wave to electricity conversion ratio     the sheer force density of water compared to wind equates to far fewer generators being required compared with wind turbines   waves pack substantial energy  few wave generators are required, difficulty to transfer energy back to land   difficult to transfer wave energy back to land, on shore ocean wave energy generators will occupy extended lengths of coastline  and most of the coastlines of the world that have significant wave activity are either highly desired residential areas  or they are pristine wilderness     it doesn t take a genius to see that any proposal to line these shores with ocean wave energy generators will be met with stiff resistance   wave power will see resistance from coastal residents, there are many regulations surrounding the permits given to coastline projects  wave energy projects risk running up against these regulations  wave power proposals will run up against permit regulations, needs a suitable site  where waves are consistently strong   wave power is only viable where conditions are right",1,262,89.52,25.65,72.25,20.23,262,30.92,77.1,49.24,37.4,3.82,0.38,0,0,0,0,0.38,3.44,10.31,5.34,0,12.21,8.02,3.05,2.67,0,11.07,9.54,4.2,7.63,0.38,0.76,6.49,10.31,0,10.31,0.38,1.53,2.29,1.91,0,3.05,0,2.67,1.15,1.15,0.38,0,0,0,0,0,0,2.67,2.29,0.38,0,0,0,0,0.38,0,0,0,0,0.38,0,0,0.38,4.2,0,0.76,1.91,1.53,0,0,0,0,0,0,0,0,0,0,1.53,0.38,0.38,0,0,0,0,0.76,0.38,3.82,20.23,0,8.4,11.07,0.76,0,0.38,0.76,0.76,5.34,3.05,0,0,0,0,0,2.67,0,2.67,0,0,0,0
"president barack obama called the supreme court s citizens union decision in his 2010 january state of the union address   with its ruling today  the supreme court has given a green light to a new stampede of special interest money in our politics  it is a major victory for big oil  wall street banks  health insurance companies and the other powerful interests that marshal their power every day in washington to drown out the voices of everyday americans  this ruling gives the special interests and their lobbyists even more power in washington  while undermining the influence of average americans who make small contributions to support their preferred candidates    unlimited spending allows special interests to dominate elections, 3  the government s asserted interest in protecting share holders from being compelled to fund corporate speech  like the anti distortion rationale  would allow the government to ban political speech even of media corporations  the statute is underinclusive  it only protects a dissenting shareholder s interests in certain media for 30 or 60 days before an election when such interests would be implicated in any media at any time   new info tech makes limits on speech unrealistic, karen finney  democratic consultant and commentator  former spokesman for the democratic national committee  wrote in a january 24  2010 washington post piece   at the very moment americans  mistrust of big corporations  big government and large institutions has reached a fever pitch  the supreme court moved to replace a government of  for and by the people with a government that can be bought and paid for by just about any major corporation    from exxon to russian owned lukoil to china s cpc corp   limited corp spending protects govt of by for people, richard l  hasen  professor of law at loyola law school  found that the ruling  increases the dangers of corruption in our political system and it ignores the strong tradition of american political equality   unlimited election spending will increases corruption, the christian science monitor wrote that the court had declared  roberts court declares outright that corporate expenditures cannot corrupt elected officials  that influence over lawmakers is not corruption  and that appearance of influence will not undermine public faith in our democracy   ruling pretends corp spending doesn t corrupt, justice stevens  with whom justice ginsburg  justice breyer  and justice sotomayor dissented from the majority ruling on citizens united  arguing   at bottom  the court s opinion is thus a rejection of the common sense of the american people  who have recognized a need to prevent corporations from undermining self government since the founding  and who have fought against the distinctive corrupting potential of corporate electioneering since the days of theodore roosevelt  it is a strange time to repudiate that common sense  while american democracy is imperfect  few outside the majority of this court would have thought its flaws included a dearth of corporate money in politics   citizens united illogically increases money in elections, jody grage  treasurer of the green party  stated  the decision       cancels the idea that candidates run for public office to serve the public interest  the ruling will help block government measures to curb global warming  regulation of financial firms  health care reform  consumer rights  and all other protections for  we the people  against corporate power   unlimited spending lets corps intimidate unwanted laws, justice john paul stevens said in january of 2010 in a dissenting opinion following the supreme court s 5 4 vote to allow unlimited corporate spending in elections   cripple the ability of ordinary citizens  congress and the states to adopt even limited measures to protect against corporate domination of the electoral process   unlimited spending allows corps to fight election regulations",1,606,97.51,57.76,7.62,26.73,606,34.98,86.3,54.29,38.28,5.12,2.15,0,0.83,0,0.17,0.5,2.97,13.53,8.58,1.49,15.02,3.96,1.49,3.14,0.5,8.75,9.74,3.8,14.19,1.98,0.5,11.72,8.58,0.5,8.09,2.31,2.15,1.16,0.83,0,1.98,0,5.12,2.81,2.31,0.5,0,0.5,0,0.17,0,0,12.38,7.92,0.66,0,1.65,1.98,1.98,4.62,0,0,0,0.33,10.73,9.74,0.83,0.17,7.59,0,0,4.95,2.81,0.33,0.66,0.5,0.17,0,0,0,0,0,0.17,0.33,0,0.17,0.17,0,0,0.17,1.32,1.16,4.13,6.27,0.99,0.5,3.96,0.5,0,0.5,2.81,2.81,2.31,0.66,0,0,0,0,0,1.16,0,1.16,0,0,0,0
